음낭 부종: 음낭 팽창, 음낭 종양, 고환 부어있음, 고환 종양, 고환 부종
배변장애:변 보기 어려움,배변 문제,변비와 설사,배변 곤란,변 못봄
폐색전:폐 혈전,폐에 혈전,폐 막힘,폐 혈관 막힘,폐 색전증
서동:느린 동작,동작 느림,느린 움직임,행동 느림,천천히 움직임
후비루:목뒤로 넘어가는 콧물,뒤로 흐르는 콧물,목뒤 콧물,후방 콧물,목구멍 콧물
얼굴이 화끈거림:얼굴 뜨거움,얼굴 화끈함,얼굴 붉어짐,얼굴이 화끈거림,얼굴 화끈화끈
광시증:눈 앞 번쩍임,번쩍이는 빛,눈앞에 빛,눈부심,번쩍거림
뼈의 기형:뼈 변형,기형 뼈,뼈 구조 이상,뼈 모양 이상,비정상 뼈
충동적 도벽:갑작스러운 절도,충동적 절도,훔치고 싶은 충동,절도 충동,도벽 충동
신발 안쪽이 주로 닳음:신발 안쪽 마모,신발 안쪽 닳아짐,신발 안쪽 닳음,신발 안쪽 헐음,신발 안쪽 마멸
다모증:과다한 털,과도한 털,털 많음,털 많이 남,많은 털
삐뚤어진 눈:비뚤어진 시선,휘어진 눈,눈이 삐뚤어짐,잘못된 눈,삐딱한 눈
유두부종:부은 유두,유두가 부음,유두 부기,유두 팽창,유두가 커짐
환시:보이는 환상,허상,눈앞 환상,잘못된 시각,눈속임
의식 변화:정신 변화,의식의 변화,정신의 변화,의식 상태 변화,정신 상태 변화
다식:많이 마심,많이 먹음,과도한 갈증,과도한 식욕,지나친 갈증
낭종:물혹,낭포,작은 종양,주머니 종양,혹
자궁이 없음:자궁 결손,자궁 부재,자궁 결여,무자궁,자궁 형성 안됨
눈가 및 이마 주름:눈가 주름,이마 주름,눈가와 이마의 주름,눈가 이마 주름,주름살
야뇨증:밤에 소변봄,야간 소변,밤에 자주 소변,야간 배뇨,밤중 소변
몸살:온몸 아픔,몸이 쑤심,전신 통증,몸 아픔,몸이 찌뿌둥함
반사회적 인격장애:반사회적 성격,사회적 부적응,반사회적 행동,비사회적 성격,반사회 성격
헛기침:빈기침,가짜 기침,가벼운 기침,목 헛기침,헛된 기침
저혈당:혈당 낮음,낮은 혈당,저혈당증,당 떨어짐,혈당 부족
심인성 쇼크:정신적 쇼크,심리적 충격,정신적 충격,심리적 쇼크,심인 쇼크
두통:머리 아픔,두통 증상,머리 통증,아픈 머리,머리가 쑤심
악성종양발생:암 발생,악성 종양,암 생성,암 발달,종양 발생
화농성 비루:고름 콧물,농성 콧물,고름 섞인 콧물,화농 콧물,화농된 콧물
뇌전증 발작:간질 발작,뇌 발작,뇌전증 증상,간질 증상,발작 증상
터널시야:시야 좁아짐,좁아진 시야,터널처럼 보임,시야가 터널처럼,좁아진 시각
읽으려 하지 않음:독서 회피,책 읽기 싫어함,독서 기피,읽기 꺼림,독서 안 함
얼굴 중심선이 안맞음: 얼굴 비대칭, 얼굴 비대칭성, 얼굴 균형 안맞음, 얼굴 중심선 비대칭, 비대칭 얼굴
이가 시림:시린 이,치아 시림,이가 시큰거림,시린 치아,치아 시큰거림
귀 모양의 변형:귀 변형,변형된 귀,귀의 형태 변화,비정상 귀,귀 형태 변형
철결핍성 빈혈:철분 부족 빈혈,철분 결핍 빈혈,철결핍성 빈혈 증상,철 부족 빈혈,철분 결핍 증상
동공이 흰빛으로 반짝임:흰빛 동공,동공 반짝임,흰색 동공,동공이 빛남,빛나는 동공
색소 침착:피부색 변화,피부 색소침착,피부 색소 증가,색소 변화,피부 색소 문제
손가락으로 밀면 들어감:눌러지는 피부,눌리면 들어감,누르면 들어감,손가락에 눌림,피부 눌림
육아조직:새살,새로 자란 조직,새살 조직,재생 조직,새로 난 살
삐뚤어진 눈 코 입:비뚤어진 얼굴, 얼굴 비대칭, 틀어진 눈 코 입, 얼굴 비뚤어짐, 비대칭적인 얼굴
눈이나 뺨 주위 작은 낭종:작은 얼굴 낭종, 얼굴에 생긴 작은 혹, 눈 주위 낭종, 뺨 주위 작은 혹, 얼굴에 생긴 작은 종기
볼과 눈주위 움푹 꺼짐:볼과 눈 주변 함몰, 눈과 뺨의 꺼짐, 눈 주변과 볼의 움푹함, 꺼진 눈과 뺨, 움푹 꺼진 눈 주변과 볼
원형 및 타원형의 탈모:둥근 탈모, 타원형 탈모, 원형 탈모, 타원형의 머리 빠짐, 원형으로 나는 탈모
남아 9세 전 2차 성징:아홉 살 이전의 남아 사춘기, 조기 사춘기 남아, 9세 전 남아 성징, 빠른 사춘기 남자아이, 이른 남아 성징
여아 8세 전 2차 성징:여덟 살 이전의 여아 사춘기, 조기 사춘기 여아, 8세 전 여아 성징, 빠른 사춘기 여자아이, 이른 여아 성징
태아 뼈 또는 근육의 기형:태아 뼈 기형, 태아 근육 기형, 태아 골격 이상, 태아 근육 이상, 태아의 뼈와 근육 문제
음낭에 없는 고환 또는 부고환:음낭 없는 고환, 음낭 없는 부고환, 음낭 내 고환 없음, 음낭 내 부고환 없음, 음낭에서 빠진 고환
입술 및 입천장의 기형:입술 기형, 입천장 기형, 구순 구개열, 갈라진 입술과 입천장, 입과 입천장의 이상
손 발 겨드랑이 발한:손 발 땀, 겨드랑이 땀, 과도한 손발 땀, 손발과 겨드랑이 땀, 땀이 많은 손발 겨드랑이
읽기 쓰기 능력 부족:읽기 어려움, 쓰기 어려움, 읽기 쓰기 문제, 읽기 쓰기 장애, 독해와 작문 어려움
